"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Авторизация с вводом неверных данных","606","Тест с неверными данными","","Fri Nov 07 08:59:14 UTC 2025","passed","Fri Nov 07 08:59:15 UTC 2025","","test_form","",""
"Авторизация с вводом верных данных","2297","Тест с верными данными","","Fri Nov 07 08:59:11 UTC 2025","passed","Fri Nov 07 08:59:14 UTC 2025","","test_form","",""
